Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Capacitance","Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style"
"https://datasheets.kyocera-avx.com/KGM_X7R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/478_0402-%281005-Metric%29-0%2C56mm.jpg","478-KGM05AR71A331KHTR-ND,478-KGM05AR71A331KHCT-ND,478-KGM05AR71A331KHDKR-ND","KGM05AR71A331KH","KYOCERA AVX","KYOCERA AVX","CAP CER 330PF 10V X7R 0402","9,449","0.28","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KGM - X7R","Active","330 pF","±10%","10V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
"https://datasheets.kyocera-avx.com/KGM_X7R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/478_0603-%281608-Metric%29-0%2C90mm.jpg","478-KGM15AR71A471KTTR-ND,478-KGM15AR71A471KTCT-ND,478-KGM15AR71A471KTDKR-ND","KGM15AR71A471KT","KYOCERA AVX","KYOCERA AVX","CAP CER 470PF 10V X7R 0603","7,985","0.2","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KGM - X7R","Active","470 pF","±10%","10V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.032"" W (1.60mm x 0.81mm)","-","0.035"" (0.90mm)","-","-"
"https://datasheets.kyocera-avx.com/KGM_X7R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5972/MFG_478%7EKGM-Series.jpg","478-KGM21NR71A471KTTR-ND,478-KGM21NR71A471KTCT-ND,478-KGM21NR71A471KTDKR-ND","KGM21NR71A471KT","KYOCERA AVX","KYOCERA AVX","CAP CER 470PF 10V X7R 0805","8,000","0.21","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KGM - X7R","Active","470 pF","±10%","10V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.01mm x 1.25mm)","-","0.039"" (1.00mm)","-","-"
"https://datasheets.kyocera-avx.com/KGM_X7R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/478_0402-%281005-Metric%29-0%2C56mm.jpg","478-KGM05AR71A471KHTR-ND,478-KGM05AR71A471KHCT-ND,478-KGM05AR71A471KHDKR-ND","KGM05AR71A471KH","KYOCERA AVX","KYOCERA AVX","CAP CER 470PF 10V X7R 0402","10,000","0.28","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KGM - X7R","Active","470 pF","±10%","10V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
"https://datasheets.kyocera-avx.com/KGM_X7R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4846/478_0201-%280603-Metric%29-0%2C33mm.jpg","478-KGM03AR71A471KHTR-ND,478-KGM03AR71A471KHCT-ND,478-KGM03AR71A471KHDKR-ND","KGM03AR71A471KH","KYOCERA AVX","KYOCERA AVX","CAP CER 470PF 10V X7R 0201","15,000","0.37","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KGM - X7R","Active","470 pF","±10%","10V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
"https://datasheets.kyocera-avx.com/X7RDielectric.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/478_0402-%281005-Metric%29-0%2C55mm.jpg","478-11791-2-ND,478-11791-1-ND,478-11791-6-ND","0402ZC561KAT2A","KYOCERA AVX","KYOCERA AVX","CAP CER 560PF 10V X7R 0402","14,615","0.28","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","560 pF","±10%","10V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
"https://datasheets.kyocera-avx.com/KGM_X7R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/478_0603-%281608-Metric%29-0%2C90mm.jpg","478-KGM15AR71A102KTTR-ND,478-KGM15AR71A102KTCT-ND,478-KGM15AR71A102KTDKR-ND","KGM15AR71A102KT","KYOCERA AVX","KYOCERA AVX","CAP CER 1000PF 10V X7R 0603","42,396","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KGM - X7R","Active","1000 pF","±10%","10V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.032"" W (1.60mm x 0.81mm)","-","0.035"" (0.90mm)","-","-"
"https://datasheets.kyocera-avx.com/KGM_X7R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/478_0402-%281005-Metric%29-0%2C56mm.jpg","478-KGM05AR71A102KHTR-ND,478-KGM05AR71A102KHCT-ND,478-KGM05AR71A102KHDKR-ND","KGM05AR71A102KH","KYOCERA AVX","KYOCERA AVX","CAP CER 1000PF 10V X7R 0402","25,747","0.21","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KGM - X7R","Active","1000 pF","±10%","10V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
"https://datasheets.kyocera-avx.com/KGM_X7R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/924/0805-%282012-Metric%29-0%2C94mm.jpg","478-KGM21NR71A102KTTR-ND,478-KGM21NR71A102KTCT-ND,478-KGM21NR71A102KTDKR-ND","KGM21NR71A102KT","KYOCERA AVX","KYOCERA AVX","CAP CER 1000PF 10V X7R 0805","20,124","0.31","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KGM - X7R","Active","1000 pF","±10%","10V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.01mm x 1.25mm)","-","0.039"" (1.00mm)","-","-"
"https://datasheets.kyocera-avx.com/KGM_X7R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4846/478_0201-%280603-Metric%29-0%2C33mm.jpg","478-KGM03AR71A102KHTR-ND,478-KGM03AR71A102KHCT-ND,478-KGM03AR71A102KHDKR-ND","KGM03AR71A102KH","KYOCERA AVX","KYOCERA AVX","CAP CER 1000PF 10V X7R 0201","5,657","0.39","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KGM - X7R","Active","1000 pF","±10%","10V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
